Year,CUs,AK_ER_E,Can_ER_E,Can_ER_Avg,Tot_ER.E,Tot_ER.CCFN
1980,Nass,0.408,0.270,NA,0.678,0.678
1981,Nass,0.370,0.244,NA,0.614,0.614
1982,Nass,0.320,0.211,NA,0.531,0.531
1983,Nass,0.447,0.295,NA,0.742,0.742
1984,Nass,0.397,0.262,NA,0.659,0.659
1985,Nass,0.414,0.273,NA,0.687,0.687
1986,Nass,0.458,0.302,NA,0.760,0.760
1987,Nass,0.353,0.233,NA,0.586,0.586
1988,Nass,0.348,0.230,NA,0.578,0.578
1989,Nass,0.339,0.224,NA,0.563,0.563
1990,Nass,0.385,0.254,NA,0.639,0.639
1991,Nass,0.470,0.183,NA,0.653,0.653
1992,Nass,0.475,0.167,NA,0.642,0.642
1993,Nass,0.506,0.131,NA,0.637,0.637
1994,Nass,0.561,0.185,NA,0.746,0.746
1995,Nass,0.578,0.130,NA,0.709,0.709
1996,Nass,0.492,0.189,NA,0.680,0.680
1997,Nass,0.487,0.053,NA,0.540,0.540
1998,Nass,0.474,0.000,NA,0.474,0.474
1999,Nass,0.494,0.003,NA,0.497,0.497
2000,Nass,0.476,0.000,NA,0.476,0.476
2001,Nass,0.464,0.031,NA,0.496,0.496
2002,Nass,0.172,0.029,NA,0.202,0.202
2003,Nass,0.359,0.045,NA,0.404,0.404
2004,Nass,0.401,0.086,NA,0.486,0.486
2005,Nass,0.437,0.136,NA,0.573,0.573
2006,Nass,0.354,0.121,NA,0.475,0.475
2007,Nass,0.379,0.117,NA,0.496,0.496
2008,Nass,0.317,0.086,NA,0.403,0.403
2009,Nass,0.260,0.088,NA,0.348,0.348
2010,Nass,0.350,0.113,NA,0.463,0.463
2011,Nass,0.466,0.067,NA,0.533,0.533
2012,Nass,0.410,0.140,NA,0.549,0.549
2013,Nass,0.519,0.119,NA,0.638,0.638
2014,Nass,0.344,0.055,NA,0.399,0.399
2015,Nass,0.581,0.288,NA,0.869,0.869
2016,Nass,0.553,0.129,NA,0.682,0.682
2017,Nass,0.370,0.184,NA,0.554,0.554
2018,Nass,0.389,0.087,NA,0.476,0.476
2019,Nass,0.319,0.167,NA,0.486,0.486
2020,Nass,0.464,0.079,NA,0.543,0.543
2021,Nass,0.520,0.117,NA,0.637,0.637
2022,Nass,0.419,0.118,NA,0.537,0.537
2023,Nass,0.360,0.074,NA,0.435,0.435
2024,Nass,0.258,0.136,NA,0.394,0.394
1980,Mid_Skeena,0.257,0.400,NA,0.657,0.657
1981,Mid_Skeena,0.233,0.410,NA,0.643,0.643
1982,Mid_Skeena,0.201,0.430,NA,0.631,0.631
1983,Mid_Skeena,0.281,0.420,NA,0.701,0.701
1984,Mid_Skeena,0.250,0.410,NA,0.660,0.660
1985,Mid_Skeena,0.260,0.410,NA,0.670,0.670
1986,Mid_Skeena,0.288,0.400,NA,0.688,0.688
1987,Mid_Skeena,0.222,0.400,NA,0.622,0.622
1988,Mid_Skeena,0.090,0.170,NA,0.260,0.260
1989,Mid_Skeena,0.223,0.397,NA,0.620,0.620
1990,Mid_Skeena,0.252,0.442,NA,0.694,0.694
1991,Mid_Skeena,0.309,0.313,NA,0.622,0.622
1992,Mid_Skeena,0.361,0.293,NA,0.654,0.654
1993,Mid_Skeena,0.286,0.020,NA,0.306,0.306
1994,Mid_Skeena,0.353,0.308,NA,0.661,0.661
1995,Mid_Skeena,0.192,0.199,NA,0.391,0.391
1996,Mid_Skeena,0.308,0.405,NA,0.713,0.713
1997,Mid_Skeena,0.374,0.133,NA,0.506,0.506
1998,Mid_Skeena,0.179,0.014,NA,0.193,0.193
1999,Mid_Skeena,0.199,0.017,NA,0.216,0.216
2000,Mid_Skeena,0.281,0.003,NA,0.284,0.284
2001,Mid_Skeena,0.240,0.022,NA,0.262,0.262
2002,Mid_Skeena,0.116,0.045,NA,0.161,0.161
2003,Mid_Skeena,0.196,0.051,NA,0.246,0.246
2004,Mid_Skeena,0.214,0.212,NA,0.426,0.426
2005,Mid_Skeena,0.229,0.032,NA,0.261,0.261
2006,Mid_Skeena,0.182,0.120,NA,0.302,0.302
2007,Mid_Skeena,0.294,0.176,NA,0.470,0.470
2008,Mid_Skeena,0.329,0.079,NA,0.408,0.408
2009,Mid_Skeena,0.296,0.090,NA,0.387,0.387
2010,Mid_Skeena,0.196,0.129,NA,0.325,0.325
2011,Mid_Skeena,0.182,0.292,NA,0.474,0.474
2012,Mid_Skeena,0.222,0.175,NA,0.397,0.397
2013,Mid_Skeena,0.270,0.105,NA,0.375,0.375
2014,Mid_Skeena,0.180,0.037,NA,0.217,0.217
2015,Mid_Skeena,0.218,0.198,NA,0.416,0.416
2016,Mid_Skeena,0.229,0.194,NA,0.423,0.423
2017,Mid_Skeena,0.264,0.176,NA,0.440,0.440
2018,Mid_Skeena,0.134,0.288,NA,0.422,0.422
2019,Mid_Skeena,0.158,0.233,NA,0.391,0.391
2020,Mid_Skeena,0.075,0.114,NA,0.189,0.189
2021,Mid_Skeena,0.121,0.149,NA,0.270,0.270
2022,Mid_Skeena,0.144,0.114,NA,0.258,0.258
2023,Mid_Skeena,0.123,0.097,NA,0.220,0.220
2024,Mid_Skeena,0.049,0.280,NA,0.329,0.329
1980,Hecate_Low,0.103,0.303,0.313,0.406,0.416
1981,Hecate_Low,0.093,0.274,0.299,0.367,0.392
1982,Hecate_Low,0.081,0.237,0.284,0.318,0.365
1983,Hecate_Low,0.113,0.331,0.337,0.444,0.450
1984,Hecate_Low,0.100,0.294,0.311,0.394,0.411
1985,Hecate_Low,0.104,0.307,0.319,0.411,0.423
1986,Hecate_Low,0.115,0.339,0.335,0.454,0.450
1987,Hecate_Low,0.089,0.262,0.289,0.351,0.378
1988,Hecate_Low,0.088,0.258,0.210,0.346,0.298
1989,Hecate_Low,0.085,0.251,0.282,0.336,0.367
1990,Hecate_Low,0.097,0.285,0.317,0.382,0.414
1991,Hecate_Low,0.118,0.205,0.226,0.323,0.344
1992,Hecate_Low,0.146,0.180,0.209,0.326,0.355
1993,Hecate_Low,0.112,0.179,0.104,0.291,0.216
1994,Hecate_Low,0.139,0.201,0.228,0.340,0.367
1995,Hecate_Low,0.075,0.137,0.156,0.212,0.231
1996,Hecate_Low,0.112,0.287,0.273,0.399,0.385
1997,Hecate_Low,0.142,0.233,0.125,0.375,0.267
1998,Hecate_Low,0.072,0.053,0.005,0.125,0.077
1999,Hecate_Low,0.080,0.043,0.007,0.123,0.087
2000,Hecate_Low,0.108,0.039,0.001,0.147,0.109
2001,Hecate_Low,0.095,0.062,0.018,0.157,0.113
2002,Hecate_Low,0.053,0.065,0.025,0.118,0.078
2003,Hecate_Low,0.075,0.084,0.048,0.159,0.123
2004,Hecate_Low,0.087,0.133,0.282,0.220,0.369
2005,Hecate_Low,0.088,0.089,0.204,0.177,0.292
2006,Hecate_Low,0.076,0.077,0.137,0.153,0.213
2007,Hecate_Low,0.119,0.069,0.152,0.188,0.271
2008,Hecate_Low,0.134,0.066,0.109,0.200,0.243
2009,Hecate_Low,0.118,0.079,0.111,0.197,0.229
2010,Hecate_Low,0.078,0.090,0.171,0.168,0.249
2011,Hecate_Low,0.079,0.090,0.154,0.169,0.233
2012,Hecate_Low,0.098,0.037,0.151,0.135,0.249
2013,Hecate_Low,0.107,0.046,0.133,0.153,0.240
2014,Hecate_Low,0.069,0.028,0.081,0.097,0.150
2015,Hecate_Low,0.090,0.071,0.209,0.161,0.299
2016,Hecate_Low,0.092,0.074,0.155,0.166,0.247
2017,Hecate_Low,0.105,0.071,0.167,0.176,0.273
2018,Hecate_Low,0.054,0.115,0.172,0.169,0.226
2019,Hecate_Low,0.063,0.093,0.181,0.156,0.244
2020,Hecate_Low,0.030,0.046,0.088,0.076,0.118
2021,Hecate_Low,0.049,0.059,0.136,0.108,0.184
2022,Hecate_Low,0.058,0.046,0.125,0.103,0.182
2023,Hecate_Low,0.049,0.039,0.104,0.088,0.154
2024,Hecate_Low,0.020,0.112,0.186,0.132,0.206
1980,Douglas_Kitimat,0.257,0.305,0.313,0.562,0.570
1981,Douglas_Kitimat,0.233,0.276,0.299,0.509,0.532
1982,Douglas_Kitimat,0.201,0.239,0.284,0.440,0.485
1983,Douglas_Kitimat,0.281,0.333,0.337,0.614,0.618
1984,Douglas_Kitimat,0.250,0.296,0.311,0.546,0.561
1985,Douglas_Kitimat,0.260,0.309,0.319,0.569,0.579
1986,Douglas_Kitimat,0.288,0.342,0.335,0.630,0.623
1987,Douglas_Kitimat,0.222,0.263,0.289,0.485,0.511
1988,Douglas_Kitimat,0.090,0.259,0.210,0.349,0.300
1989,Douglas_Kitimat,0.223,0.253,0.282,0.476,0.504
1990,Douglas_Kitimat,0.252,0.287,0.317,0.539,0.569
1991,Douglas_Kitimat,0.309,0.207,0.226,0.516,0.535
1992,Douglas_Kitimat,0.361,0.181,0.209,0.542,0.570
1993,Douglas_Kitimat,0.286,0.181,0.104,0.467,0.390
1994,Douglas_Kitimat,0.353,0.202,0.228,0.555,0.581
1995,Douglas_Kitimat,0.192,0.138,0.156,0.330,0.348
1996,Douglas_Kitimat,0.308,0.289,0.273,0.597,0.581
1997,Douglas_Kitimat,0.374,0.183,0.125,0.557,0.498
1998,Douglas_Kitimat,0.179,0.034,0.005,0.213,0.183
1999,Douglas_Kitimat,0.199,0.027,0.007,0.226,0.206
2000,Douglas_Kitimat,0.281,0.020,0.001,0.301,0.282
2001,Douglas_Kitimat,0.240,0.038,0.018,0.278,0.257
2002,Douglas_Kitimat,0.116,0.052,0.025,0.168,0.141
2003,Douglas_Kitimat,0.196,0.062,0.048,0.258,0.244
2004,Douglas_Kitimat,0.214,0.075,0.282,0.289,0.495
2005,Douglas_Kitimat,0.229,0.116,0.204,0.345,0.433
2006,Douglas_Kitimat,0.182,0.071,0.137,0.253,0.319
2007,Douglas_Kitimat,0.294,0.100,0.152,0.394,0.446
2008,Douglas_Kitimat,0.329,0.074,0.109,0.403,0.438
2009,Douglas_Kitimat,0.296,0.145,0.111,0.441,0.407
2010,Douglas_Kitimat,0.196,0.087,0.171,0.283,0.367
2011,Douglas_Kitimat,0.182,0.225,0.154,0.407,0.336
2012,Douglas_Kitimat,0.222,0.092,0.151,0.314,0.373
2013,Douglas_Kitimat,0.270,0.115,0.133,0.385,0.403
2014,Douglas_Kitimat,0.180,0.069,0.081,0.249,0.260
2015,Douglas_Kitimat,0.218,0.176,0.209,0.394,0.428
2016,Douglas_Kitimat,0.229,0.184,0.155,0.413,0.384
2017,Douglas_Kitimat,0.264,0.176,0.167,0.440,0.431
2018,Douglas_Kitimat,0.134,0.288,0.172,0.422,0.307
2019,Douglas_Kitimat,0.158,0.233,0.181,0.391,0.339
2020,Douglas_Kitimat,0.075,0.114,0.088,0.189,0.163
2021,Douglas_Kitimat,0.121,0.149,0.136,0.270,0.257
2022,Douglas_Kitimat,0.144,0.114,0.125,0.258,0.268
2023,Douglas_Kitimat,0.123,0.097,0.104,0.220,0.228
2024,Douglas_Kitimat,0.049,0.280,0.186,0.329,0.235
1980,North_Coast_Streams,0.154,0.293,0.313,0.447,0.467
1981,North_Coast_Streams,0.14,0.265,0.299,0.405,0.439
1982,North_Coast_Streams,0.121,0.23,0.284,0.351,0.405
1983,North_Coast_Streams,0.169,0.321,0.337,0.490,0.506
1984,North_Coast_Streams,0.15,0.285,0.311,0.435,0.461
1985,North_Coast_Streams,0.156,0.297,0.319,0.453,0.475
1986,North_Coast_Streams,0.173,0.329,0.335,0.502,0.508
1987,North_Coast_Streams,0.133,0.254,0.289,0.387,0.422
1988,North_Coast_Streams,0.131,0.25,0.210,0.381,0.341
1989,North_Coast_Streams,0.128,0.244,0.282,0.372,0.410
1990,North_Coast_Streams,0.145,0.276,0.317,0.421,0.462
1991,North_Coast_Streams,0.178,0.199,0.226,0.377,0.404
1992,North_Coast_Streams,0.219,0.175,0.209,0.394,0.428
1993,North_Coast_Streams,0.168,0.174,0.104,0.342,0.272
1994,North_Coast_Streams,0.208,0.194,0.228,0.402,0.436
1995,North_Coast_Streams,0.112,0.133,0.156,0.245,0.268
1996,North_Coast_Streams,0.168,0.278,0.273,0.446,0.441
1997,North_Coast_Streams,0.212,0.225,0.125,0.437,0.337
1998,North_Coast_Streams,0.108,0.046,0.005,0.154,0.113
1999,North_Coast_Streams,0.12,0.036,0.007,0.156,0.127
2000,North_Coast_Streams,0.162,0.032,0.001,0.194,0.163
2001,North_Coast_Streams,0.143,0.052,0.018,0.195,0.161
2002,North_Coast_Streams,0.08,0.056,0.025,0.136,0.105
2003,North_Coast_Streams,0.112,0.074,0.048,0.186,0.160
2004,North_Coast_Streams,0.131,0.124,0.282,0.255,0.413
2005,North_Coast_Streams,0.133,0.079,0.204,0.212,0.337
2006,North_Coast_Streams,0.114,0.068,0.137,0.182,0.251
2007,North_Coast_Streams,0.179,0.06,0.152,0.239,0.331
2008,North_Coast_Streams,0.202,0.057,0.109,0.259,0.311
2009,North_Coast_Streams,0.177,0.07,0.111,0.247,0.288
2010,North_Coast_Streams,0.116,0.081,0.171,0.197,0.287
2011,North_Coast_Streams,0.119,0.135,0.154,0.254,0.273
2012,North_Coast_Streams,0.147,0.055,0.151,0.202,0.298
2013,North_Coast_Streams,0.16,0.069,0.133,0.229,0.293
2014,North_Coast_Streams,0.104,0.041,0.081,0.145,0.185
2015,North_Coast_Streams,0.134,0.106,0.209,0.240,0.343
2016,North_Coast_Streams,0.137,0.116,0.155,0.254,0.292
2017,North_Coast_Streams,0.158,0.106,0.167,0.264,0.326
2018,North_Coast_Streams,0.081,0.173,0.172,0.253,0.253
2019,North_Coast_Streams,0.095,0.140,0.181,0.235,0.276
2020,North_Coast_Streams,0.045,0.069,0.088,0.114,0.133
2021,North_Coast_Streams,0.073,0.089,0.136,0.162,0.209
2022,North_Coast_Streams,0.086,0.068,0.125,0.155,0.211
2023,North_Coast_Streams,0.074,0.058,0.104,0.132,0.178
2024,North_Coast_Streams,0.029,0.168,0.186,0.198,0.216
1980,Bella_Coola_Dean,0.154,0.303,0.313,0.457,0.467
1981,Bella_Coola_Dean,0.140,0.274,0.299,0.414,0.439
1982,Bella_Coola_Dean,0.121,0.237,0.284,0.358,0.405
1983,Bella_Coola_Dean,0.169,0.331,0.337,0.500,0.506
1984,Bella_Coola_Dean,0.150,0.294,0.311,0.444,0.461
1985,Bella_Coola_Dean,0.156,0.307,0.319,0.463,0.475
1986,Bella_Coola_Dean,0.173,0.339,0.335,0.512,0.508
1987,Bella_Coola_Dean,0.133,0.262,0.289,0.395,0.422
1988,Bella_Coola_Dean,0.131,0.258,0.210,0.389,0.341
1989,Bella_Coola_Dean,0.128,0.251,0.282,0.379,0.410
1990,Bella_Coola_Dean,0.145,0.285,0.317,0.430,0.462
1991,Bella_Coola_Dean,0.178,0.205,0.226,0.383,0.404
1992,Bella_Coola_Dean,0.219,0.180,0.209,0.399,0.428
1993,Bella_Coola_Dean,0.168,0.179,0.104,0.347,0.272
1994,Bella_Coola_Dean,0.208,0.201,0.228,0.409,0.436
1995,Bella_Coola_Dean,0.112,0.137,0.156,0.249,0.268
1996,Bella_Coola_Dean,0.168,0.287,0.273,0.455,0.441
1997,Bella_Coola_Dean,0.212,0.233,0.125,0.445,0.337
1998,Bella_Coola_Dean,0.108,0.053,0.005,0.161,0.113
1999,Bella_Coola_Dean,0.120,0.043,0.007,0.163,0.127
2000,Bella_Coola_Dean,0.162,0.039,0.001,0.201,0.163
2001,Bella_Coola_Dean,0.143,0.062,0.018,0.205,0.161
2002,Bella_Coola_Dean,0.080,0.065,0.025,0.145,0.105
2003,Bella_Coola_Dean,0.112,0.084,0.048,0.196,0.160
2004,Bella_Coola_Dean,0.131,0.133,0.282,0.264,0.413
2005,Bella_Coola_Dean,0.133,0.089,0.204,0.222,0.337
2006,Bella_Coola_Dean,0.114,0.077,0.137,0.191,0.251
2007,Bella_Coola_Dean,0.179,0.069,0.152,0.248,0.331
2008,Bella_Coola_Dean,0.202,0.066,0.109,0.268,0.311
2009,Bella_Coola_Dean,0.177,0.079,0.111,0.256,0.288
2010,Bella_Coola_Dean,0.116,0.090,0.171,0.206,0.287
2011,Bella_Coola_Dean,0.119,0.135,0.154,0.254,0.273
2012,Bella_Coola_Dean,0.147,0.055,0.151,0.202,0.298
2013,Bella_Coola_Dean,0.160,0.069,0.133,0.229,0.293
2014,Bella_Coola_Dean,0.104,0.041,0.081,0.145,0.185
2015,Bella_Coola_Dean,0.134,0.106,0.209,0.240,0.343
2016,Bella_Coola_Dean,0.138,0.116,0.155,0.254,0.293
2017,Bella_Coola_Dean,0.158,0.106,0.167,0.264,0.326
2018,Bella_Coola_Dean,0.081,0.173,0.172,0.253,0.253
2019,Bella_Coola_Dean,0.095,0.140,0.181,0.235,0.276
2020,Bella_Coola_Dean,0.045,0.069,0.088,0.114,0.133
2021,Bella_Coola_Dean,0.073,0.089,0.136,0.162,0.209
2022,Bella_Coola_Dean,0.086,0.068,0.125,0.155,0.211
2023,Bella_Coola_Dean,0.074,0.058,0.104,0.132,0.178
2024,Bella_Coola_Dean,0.029,0.168,0.186,0.198,0.216
1980,Rivers_Inlet,0.051,0.297,0.313,0.348,0.364
1981,Rivers_Inlet,0.047,0.269,0.299,0.316,0.346
1982,Rivers_Inlet,0.040,0.233,0.284,0.273,0.324
1983,Rivers_Inlet,0.056,0.325,0.337,0.381,0.393
1984,Rivers_Inlet,0.050,0.289,0.311,0.339,0.361
1985,Rivers_Inlet,0.052,0.301,0.319,0.353,0.371
1986,Rivers_Inlet,0.058,0.333,0.335,0.391,0.393
1987,Rivers_Inlet,0.044,0.257,0.289,0.301,0.333
1988,Rivers_Inlet,0.044,0.253,0.210,0.297,0.254
1989,Rivers_Inlet,0.043,0.246,0.282,0.289,0.325
1990,Rivers_Inlet,0.048,0.279,0.317,0.327,0.365
1991,Rivers_Inlet,0.059,0.201,0.226,0.260,0.285
1992,Rivers_Inlet,0.073,0.177,0.209,0.250,0.282
1993,Rivers_Inlet,0.056,0.176,0.104,0.232,0.160
1994,Rivers_Inlet,0.069,0.197,0.228,0.266,0.297
1995,Rivers_Inlet,0.037,0.134,0.156,0.171,0.193
1996,Rivers_Inlet,0.056,0.281,0.273,0.337,0.329
1997,Rivers_Inlet,0.071,0.228,0.125,0.299,0.196
1998,Rivers_Inlet,0.036,0.052,0.005,0.088,0.041
1999,Rivers_Inlet,0.040,0.041,0.007,0.081,0.047
2000,Rivers_Inlet,0.054,0.037,0.001,0.091,0.055
2001,Rivers_Inlet,0.048,0.057,0.018,0.105,0.066
2002,Rivers_Inlet,0.027,0.060,0.025,0.087,0.052
2003,Rivers_Inlet,0.037,0.079,0.048,0.116,0.085
2004,Rivers_Inlet,0.044,0.128,0.282,0.172,0.326
2005,Rivers_Inlet,0.044,0.084,0.204,0.128,0.248
2006,Rivers_Inlet,0.038,0.072,0.137,0.110,0.175
2007,Rivers_Inlet,0.060,0.064,0.152,0.124,0.212
2008,Rivers_Inlet,0.067,0.061,0.109,0.128,0.176
2009,Rivers_Inlet,0.059,0.074,0.111,0.133,0.170
2010,Rivers_Inlet,0.039,0.085,0.171,0.124,0.210
2011,Rivers_Inlet,0.040,0.090,0.154,0.130,0.194
2012,Rivers_Inlet,0.049,0.037,0.151,0.086,0.200
2013,Rivers_Inlet,0.053,0.046,0.133,0.099,0.186
2014,Rivers_Inlet,0.035,0.028,0.081,0.063,0.116
2015,Rivers_Inlet,0.045,0.071,0.209,0.116,0.254
2016,Rivers_Inlet,0.046,0.077,0.155,0.123,0.201
2017,Rivers_Inlet,0.105,0.071,0.167,0.176,0.273
2018,Rivers_Inlet,0.054,0.115,0.172,0.169,0.226
2019,Rivers_Inlet,0.063,0.093,0.181,0.156,0.244
2020,Rivers_Inlet,0.030,0.046,0.088,0.076,0.118
2021,Rivers_Inlet,0.049,0.059,0.136,0.108,0.184
2022,Rivers_Inlet,0.058,0.046,0.125,0.103,0.182
2023,Rivers_Inlet,0.049,0.039,0.104,0.088,0.154
2024,Rivers_Inlet,0.020,0.112,0.186,0.132,0.206
