FISHERY,ESTIMATE_TYPE,LICENCE_AREA,CALENDAR_YEAR,MGMT_AREA,VESSEL_COUNT,BOAT_DAYS,SOCKEYE_KEPT,SOCKEYE_RELD,COHO_KEPT,COHO_RELD,PINK_KEPT,PINK_RELD,CHUM_KEPT,CHUM_RELD,CHINOOK_KEPT,CHINOOK_RELD,STEELHEAD_KEPT,STEELHEAD_RELD,NOTES
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,1,48,565.00,100.00,1036.00,18671.00,7407.00,2606.00,4055.00,1.00,214.00,14813.00,1384.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,2,18,206.00,0.00,46.00,6282.00,329.00,20.00,147.00,0.00,8.00,5014.00,411.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,3,25,114.00,0.00,19.00,8623.00,65.00,8.00,79.00,0.00,47.00,0.00,1083.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,6,26,316.00,0.00,208.00,41430.00,54.00,2344.00,2896.00,0.00,373.00,22.00,2384.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,7,7,33.00,0.00,46.00,1695.00,3.00,45.00,115.00,0.00,34.00,0.00,234.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,8,6,24.00,0.00,100.00,1133.00,0.00,84.00,26.00,0.00,20.00,0.00,186.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2005,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2005,12,24,95.00,1893.00,0.00,0.00,177.00,2121.00,12.00,6725.00,0.00,0.00,135.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2005,13,78,628.00,18283.00,1.00,4.00,1051.00,19876.00,437.00,41909.00,0.00,0.00,196.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2005,14,8,28.00,1.00,0.00,0.00,1.00,0.00,0.00,383.00,0.00,0.00,9.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2005,16,0,1.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2005,17,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2005,18,1,0.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2005,23,26,199.00,0.00,4.00,7.00,45.00,0.00,0.00,0.00,8.00,2546.00,541.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2005,24,0,1.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2005,25,5,22.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,342.00,11.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2005,26,10,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,287.00,7.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2005,27,3,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,10.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2005,29,2,2.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,101,141,3840.00,107.00,7627.00,181516.00,39613.00,36943.00,38998.00,52.00,1202.00,122336.00,13976.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,102,7,98.00,0.00,0.00,14845.00,0.00,0.00,0.00,0.00,2.00,0.00,285.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,104,23,135.00,0.00,170.00,27341.00,0.00,1416.00,1820.00,0.00,44.00,72.00,610.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,105,8,26.00,0.00,1.00,3003.00,0.00,45.00,4.00,0.00,0.00,0.00,513.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,106,9,34.00,0.00,19.00,3776.00,0.00,105.00,75.00,0.00,15.00,0.00,285.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,107,1,4.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,108,3,5.00,0.00,6.00,65.00,0.00,8.00,0.00,1.00,0.00,0.00,21.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,109,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,110,2,11.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2005,123,110,706.00,0.00,0.00,479.00,2055.00,6.00,26.00,226.00,83.00,30874.00,3597.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2005,124,74,338.00,0.00,0.00,948.00,1403.00,8.00,4.00,697.00,0.00,7581.00,525.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2005,125,97,643.00,0.00,0.00,29.00,236.00,6.00,31.00,167.00,2.00,17630.00,932.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2005,126,147,2605.00,0.00,3.00,346.00,1503.00,37.00,54.00,821.00,36.00,73665.00,3844.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2005,127,37,350.00,0.00,2.00,201.00,834.00,14.00,0.00,342.00,4.00,7441.00,794.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,130,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2005,142,35,377.00,0.00,100.00,0.00,3009.00,40.00,1511.00,0.00,31.00,13012.00,458.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,1,90,924.00,1814.00,427.00,29769.00,3678.00,4716.00,4628.00,5.00,83.00,18072.00,1366.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,2,17,122.00,0.00,536.00,2425.00,264.00,946.00,791.00,0.00,17.00,3828.00,84.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,3,10,30.00,3.00,0.00,1165.00,0.00,36.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,6,28,151.00,0.00,56.00,9297.00,5.00,396.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,7,11,23.00,0.00,38.00,1186.00,14.00,32.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,8,2,1.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2006,11,8,16.00,4553.00,0.00,0.00,6.00,18.00,1.00,1.00,0.00,0.00,22.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2006,12,51,212.00,71751.00,1.00,0.00,416.00,252.00,201.00,46.00,7.00,10.00,358.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2006,12,97,693.00,173924.00,156.00,0.00,206.00,839.00,659.00,5591.00,40.00,2.00,453.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2006,13,83,667.00,42504.00,81.00,0.00,242.00,969.00,359.00,62298.00,0.00,3.00,157.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2006,14,7,17.00,0.00,0.00,0.00,0.00,0.00,0.00,695.00,1.00,0.00,1.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2006,18,3,7.00,172.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2006,23,17,207.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00,0.00,2013.00,452.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2006,24,6,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.00,16.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2006,25,7,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.00,19.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2006,26,2,12.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2006,27,3,8.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,41.00,5.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2006,29,7,8.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,101,164,4031.00,9299.00,3005.00,81853.00,18559.00,30160.00,13397.00,155.00,596.00,98433.00,6523.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,102,6,26.00,2.00,0.00,2024.00,3.00,126.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,104,17,75.00,97.00,2.00,8415.00,0.00,960.00,219.00,0.00,1.00,73.00,314.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,105,2,2.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,106,4,11.00,76.00,56.00,252.00,0.00,68.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,107,2,1.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,108,2,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,109,1,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,110,1,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2006,111,1,2.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2006,123,95,1167.00,5812.00,3.00,572.00,3692.00,4.00,4.00,122.00,0.00,51410.00,4834.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2006,124,77,377.00,84111.00,4.00,30.00,369.00,5.00,20.00,49.00,1.00,1625.00,2621.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2006,125,92,608.00,4147.00,8.00,1218.00,2396.00,1.00,0.00,333.00,50.00,14059.00,1586.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2006,126,110,1639.00,626.00,5.00,769.00,2704.00,58.00,10.00,651.00,3.00,27673.00,1145.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2006,127,50,580.00,6581.00,3.00,51.00,1740.00,25.00,21.00,485.00,49.00,8658.00,927.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2006,142,37,268.00,0.00,1551.00,1877.00,771.00,662.00,1786.00,0.00,79.00,8886.00,145.00,0.00,0.00,NA
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,1,67,667.00,466.00,335.00,18573.00,2912.00,6075.00,5828.00,44.00,59.00,9857.00,1248.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,2,10,90.00,0.00,67.00,1338.00,158.00,266.00,342.00,0.00,13.00,2013.00,29.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,6,35,265.00,1.00,17.00,26516.00,0.00,4235.00,1391.00,4.00,25.00,0.00,1550.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,7,9,34.00,0.00,6.00,1668.00,2.00,6.00,51.00,0.00,4.00,0.00,252.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,8,1,1.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2007,12,3,5.00,0.00,0.00,0.00,2.00,1.00,0.00,145.00,0.00,0.00,17.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2007,13,58,457.00,0.00,142.00,0.00,663.00,1844.00,14.00,40011.00,228.00,0.00,269.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2007,14,4,4.00,0.00,0.00,0.00,0.00,0.00,0.00,268.00,0.00,0.00,7.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2007,16,2,2.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2007,17,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2007,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,23,24,248.00,0.00,6.00,0.00,26.00,0.00,0.00,2.00,0.00,2787.00,715.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,24,6,18.00,0.00,0.00,0.00,20.00,0.00,0.00,3.00,0.00,234.00,6.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,25,3,5.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,41.00,13.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,26,3,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,11.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,27,4,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,84.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2007,29,2,5.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,101,143,2772.00,2675.00,765.00,95527.00,11448.00,63973.00,19010.00,668.00,465.00,59218.00,6897.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,102,12,54.00,0.00,0.00,5930.00,0.00,4.00,0.00,1.00,2.00,0.00,279.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,104,40,311.00,280.00,4.00,36586.00,6.00,6094.00,1264.00,21.00,19.00,130.00,2073.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,105,4,10.00,0.00,0.00,510.00,0.00,18.00,0.00,0.00,0.00,0.00,126.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,106,2,0.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,107,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,108,1,1.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,109,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,110,1,1.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,123,82,1443.00,1.00,2.00,1354.00,5041.00,45.00,26.00,141.00,2.00,36643.00,5318.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,124,36,259.00,0.00,2.00,13.00,639.00,1.00,0.00,58.00,0.00,5561.00,205.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,125,35,212.00,0.00,0.00,6.00,847.00,76.00,341.00,262.00,4.00,5967.00,401.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,126,58,854.00,45.00,1.00,43.00,1778.00,532.00,224.00,313.00,16.00,14495.00,1032.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,127,29,557.00,0.00,4.00,10.00,2601.00,81.00,121.00,92.00,16.00,8600.00,383.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,142,35,246.00,9.00,122.00,2088.00,761.00,1309.00,1301.00,12.00,17.00,6069.00,265.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,1,76,809.00,150.00,42.00,19127.00,2207.00,9449.00,1149.00,0.00,82.00,4618.00,1118.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,2,12,21.00,0.00,0.00,98.00,0.00,0.00,1.00,0.00,0.00,87.00,1.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,6,33,245.00,0.00,6.00,12638.00,1.00,683.00,44.00,0.00,11.00,9.00,690.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,7,4,26.00,0.00,0.00,1087.00,16.00,9.00,11.00,0.00,12.00,0.00,48.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2008,12,2,3.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2008,13,44,345.00,160.00,3.00,5.00,121.00,261.00,76.00,21262.00,20.00,0.00,42.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2008,14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2008,18,4,9.00,341.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2008,23,16,79.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,772.00,179.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2008,24,4,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.00,3.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2008,25,1,2.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2008,26,3,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.00,7.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2008,27,2,4.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2008,29,1,4.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,101,132,2897.00,303.00,147.00,39824.00,9037.00,21911.00,9466.00,54.00,316.00,38370.00,3213.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,102,10,42.00,0.00,0.00,1312.00,0.00,1.00,31.00,0.00,0.00,59.00,92.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,104,8,10.00,141.00,0.00,722.00,0.00,73.00,12.00,0.00,0.00,5.00,42.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,105,6,19.00,0.00,0.00,1277.00,0.00,11.00,15.00,0.00,0.00,1.00,151.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,106,1,2.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
